text,label,meta,context,source,target
"In a letter handed over to the United Nations on Monday, Iraq said it would allow the return of U.N. weapons inspectors ``without conditions'' to ``remove any doubts Iraq still possesses weapons of mass destruction.''",AGREE,PLOVER event record.|PLV|split=test|sentence_id=29,,Iraq,U.N.
"With the signing of a Memorandum of Understanding (MOU) on Cessation of Hostilities, the Sudanese government and SPLM/A have agreed to allow ``unimpeded humanitarian access to all areas and for people in need.''",AGREE,PLOVER event record.|PLV|split=test|sentence_id=30,,Sudanese government,SPLM/A
Yugoslavia and Slovenia agreed to a ceasefire after two days of fierce fighting but media reports said sporadic clashes were still continuing.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=31,,Yugoslavia,Slovenia
"Shefket Musliu said on 21 May in Konculj, in the Federal Republic of Yugoslavia, that his forces will lay down their weapons and disband by the end of the month because ``the time has come... to seek changes through political means,'' AP reported.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=32,,Shefket Musliu,Konculj
"Syria says it is willing to withdraw its troops from neighboring Lebanon, after fifteen years of effective military occupation.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=33,,Syria,Lebanon
"East German Foreign Minister Oskar Fischer will visit Albania in June, the first Warsaw Pact foreign minister to do so since Tirana split with Moscow in 1961, the Albanian embassy said.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=34,,East German Foreign Minister Oskar Fischer,Albania
"On September 29, Putin offered to negotiate with Chechen President Aslan Maskhadov following the invasions of Dagestan.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=35,,Putin,Chechen President Aslan Maskhadov
"Denmark today accepted a formula for ending its fisheries dispute with its European common market partners, government officials said.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=36,,Denmark,European common market
Afghan rebel leaders said on Wednesday they would meet U.N. mediator Diego Cordovez if he gave them a veto over any settlement reached in peace talks.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=37,,Afghan rebel leaders,U.N.
"Israeli Prime Minister Ehud Barak has agreed to US mediation in the final status talks with the Palestinians, a senior Israeli official said.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=38,,Israeli Prime Minister Ehud Barak,US
"Gambian President Dawda Jawara will visit Mauritania and Senegal to mediate in a border dispute between the two West African neighbors, diplomatic sources said on Wednesday.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=39,,Gambian President Dawda Jawara,Mauritania and Senegal
King Hassan of Morocco was quoted today as saying he would be ready to host a meeting between an Israeli peace movement and the Palestine Liberation Organization (PLO).,AGREE,PLOVER event record.|PLV|split=test|sentence_id=40,,King Hassan of Morocco,Israeli peace movement and the Palestine Liberation Organization (PLO)
A group of African diplomats held their first meeting with President Parvanov at a lunch hosted by the Ambassador of Kingdom of Morocco.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=41,,African diplomats,President Parvanov
"U.S. Secretary of State Warren Christopher telephoned Russian Foreign Minister Andrei Kozyrev on Tuesday to discuss efforts to forge a peace settlement in former Yugoslavia, Itar-Tass news agency said.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=42,,U.S. Secretary of State Warren Christopher,Russian Foreign Minister Andrei Kozyrev
"Taiwan's Vice Foreign Minister visited Russia today, becoming the island's highest ranking government official to go there.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=43,,Taiwan's Vice Foreign Minister,Russia
Iraqi President Saddam Hussein arrived in Amman on a previously unannounced visit on Wednesday.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=44,,Iraqi President Saddam Hussein,Amman
Russian President Boris Yeltsin on Saturday hosted Japanese Prime Minister Ryutaro Hashimoto in this Siberian city for an informal meeting aimed at establishing close personal relations between the two leaders.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=45,,Russian President Boris Yeltsin,Japanese Prime Minister Ryutaro Hashimoto
President Francois Mitterand gave a warm welcome on Thursday to South African leader F.W. de Klerk who is attempting to break his country's international isolation.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=46,,President Francois Mitterand,South African leader F.W. de Klerk
"U.S. and Soviet negotiators return to Geneva this week for talk on limiting the number of European-based nuclear missiles, an issue likely to dominate East-West relations this year.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=47,,U.S. and Soviet negotiators,Geneva
Arab League Secretary General Chadli Klibi undertook mediation mission between Syria and Palestinian leader Yasser Arafat.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=48,,Arab League Secretary General Chadli Klibi,Syria and Palestinian leader Yasser Arafat
"Quatar's emir, Sheikh Hamad bin Khalifa al-Thani launched a mediation effort on Saturday between the Emirates and Saudi Arabia whose ties have been strained by Riyadh's new friendship with Tehran.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=49,,"Quatar's emir, Sheikh Hamad bin Khalifa al-Thani",Emirates and Saudi Arabia
Israel and Lebanon renewed negotiations today on an Israeli troop pullback from Lebanon and their future relations.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=50,,Israel,Lebanon
"French National Assembly president Laurent Fabius and a group of deputies held talks with leaders of Romania's new government on Tuesday, the first high level Western delegation to visit Bucharest since last month's revolution.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=51,,French National Assembly president Laurent Fabius,Romania's
"Czechoslovakia and Albania have upgraded their diplomatic ties back up to ambassadorial level after an 18-year break, the official CTK news agency said on Wednesday.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=52,,Czechoslovakia,Albania
A top U.S. official today praised Haiti's efforts to improve its record on human rights and said it was an important partner for the United States.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=53,,U.S. official,Haiti
The West German government today welcomed President Reagan's latest policy statement as proof of Washington's earnest wish for a settlement to be reached in U.S.-Soviet nuclear talks.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=54,,West German government,President Reagan
"The United States on Thursday defended the right of Soviet troops to fire protectively on militants in Azerbaijan and insisted unrest there reflected age-old ethnic tensions, not a fight for political independence.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=55,,United States,Soviet troops
Palestinian leader Yasser Arafat defended Iraq and Libya on Friday against Western criticism of their arms industries and said the West was applying double standards on human rights.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=56,,Palestinian leader Yasser Arafat,Iraq and Libya
"Arab League Secretary-General Chedli Klibi today urged the European Community to support the Palestinian Liberation Organization (PLO), which he said would create a favorable climate for peace talks.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=57,,Arab League Secretary-General Chedli Klibi,Palestinian Liberation Organization
"Saudi Arabia has mobilized pressure groups in the United States to help support the rights of Palestinians in their struggle against Israel, a top minister said in comments published Thursday.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=58,,Saudi Arabia,Palestinians
"Sri Lanka has established diplomatic ties with and opened an embassy in Tehran, the foreign ministry said on Wednesday.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=59,,Sri Lanka,Tehran
"Argentina has apologized to Brazil for one of its gunboats intercepting a Brazilian ship in the Beagle Channel, disputed by Argentina and Chile.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=60,,Argentina,Brazil
A group of Yoruba leaders announced yesterday that they are willing to forgive President Olusegun Obasanjo and queue behind him for a second term.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=61,,Yoruba,President Olusegun Obasanjo
"Libyan leader Muammar Gaddafi and Bulgarian President Todor Zhivkov today signed a treaty of friendship and cooperation, the BTA reported.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=62,,Libyan leader Muammar Gaddafi,Bulgarian President Todor Zhivkov
"Czechoslovakia and China signed an agreement today to increase trade in 1983 by 50 percent compared with last year, the official Czechoslovak news agency Ceteka said today.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=63,,Czechoslovakia,China
Taliban ruled Afghanistan has been sharing expertise with the Liberation Tigers of Tamil Eelam according to a special report submitted to the Canadian Security Intelligence Service.,COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=64,,Taliban ruled Afghanistan,Liberation Tigers of Tamil Eelam
"European foreign direct investment flows in Latin America and the Caribbean rose more than eightfold during the second half of the 1990s compared with the first half of that decade, according to a study presented in Paris by the Inter-American Development Bank.",COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=65,,European,Latin America and the Caribbean
"French and Egyptian warships on Monday launched 10 days of war games in the Mediterranean Sea, expected to be joined later by Italian and German vessels, the French embassy said Monday.",COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=66,,French,Egyptian
"Zambia extradited suspected British militant Haroon Rashid Aswad to Britain on Sunday, a senior Zambian government official said.",COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=67,,Zambia,Britain
"Israeli intelligence officials have shared evidence with the U.S. about contacts between al Qaeda and senior members of Saddam Hussein's Ba'ath Party, according to governmental officials.",COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=68,,Israeli intelligence,U.S.
"Doctors from two American aid groups donated and personally delivered $50,000 worth of goods to Baghdad University Medical School, risking as much as 12 years in prison and $500,000 in fines.",AID,PLOVER event record.|PLV|split=test|sentence_id=69,,American aid groups,Baghdad University Medical School
The European Community on Monday gave the Ivory Coast 5.1 million dollars of aid for agricultural development projects.,AID,PLOVER event record.|PLV|split=test|sentence_id=70,,European Community,Ivory Coast
"The United States continued to send arms to Pakistan last year, a State Department Spokesman said Wednesday.",AID,PLOVER event record.|PLV|split=test|sentence_id=71,,United States,Pakistan
"The United States is providing aerial photographs and other military intelligence to Macedonia which is preparing a major offensive against ethnic Albanian guerrillas, the Washington Post said Wednesday.",AID,PLOVER event record.|PLV|split=test|sentence_id=72,,United States,Macedonia
"Swiss doctors handed over 700 kg of medicine to the Red Crescent in Bam, Iran, according to the Swiss Agency for Development and Cooperation.",AID,PLOVER event record.|PLV|split=test|sentence_id=73,,Swiss doctors,Red Crescent in Bam
"Benin opened its borders today to most West Africans ordered out of Nigeria as illegal aliens, but was still refusing admittance to Ghanaians, by far the biggest group involved, Benin police said.",AID,PLOVER event record.|PLV|split=test|sentence_id=74,,Benin,West Africans
U.N. helicopters evacuated the wounded from the besieged Bosnian town of Gorazde on Friday.,AID,PLOVER event record.|PLV|split=test|sentence_id=75,,U.N.,Bosnian town of Gorazde
"The first deployment of NATO peacekeeping troops have arrived in Bosnia, Defense Secretary William Perry said.",AID,PLOVER event record.|PLV|split=test|sentence_id=76,,NATO,Bosnia
"Peru has granted diplomatic asylum to five Panamanian army officers holed up in a diplomatic residence since last month's U.S. invasion, the Peruvian embassy said on Tuesday.",AID,PLOVER event record.|PLV|split=test|sentence_id=77,,Peru,Panamanian army
"Uganda has granted political asylum to 18 Zairean rebels who entered the country illegally two years ago and are wanted at home on treason charges, a United Nations official said on Friday.",AID,PLOVER event record.|PLV|split=test|sentence_id=78,,Uganda,Zairean rebels
"Uganda said on Sunday it had paid compensation to 67 elderly British nationals, most of the Asians, for assets they lost when former dictator Idi Amin expelled them 18 years ago.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=79,,Uganda,British nationals
"President Omar Hassan al-Bashir, following the partial peace deal, has taken several tentative steps to enhance political freedoms and promote an image of openness and tolerance in Sudan.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=80,,President Omar Hassan al-Bashir,Sudan
The Latvian Constitutional Court cancelled restrictions on the use of the Russian language on national radio and television.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=81,,Latvian Constitutional Court,Russian
The Ivory Coast's Supreme Court decided to allow candidate Alassane Ouattara to participate in the country's upcoming elections.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=82,,Ivory Coast's Supreme Court,Alassane Ouattara
Yugoslavia lifted a night curfew in Kosovo where 28 people have been killed in ethnic riots this year and the province was reported quiet on Sunday.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=83,,Yugoslavia,Kosovo
President Omar El Bashir on Thursday shortened by one hour the nightly curfew imposed in Sudan after a June 30 coup toppled the civilian government.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=84,,President Omar El Bashir,Sudan
"Yugoslavia eased emergency measures on Wednesday in Kosovo province, the scene of ethnic violence last March, as authorities in Croatia cracked down on Serbian nationalists.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=85,,Yugoslavia,Kosovo
"Sudan's government on Sunday lifted a state of emergency in West Darfur State that was imposed six months ago after bloody tribal clashes there, Omdurman radio reported Sunday.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=86,,Sudan's government,West Darfur State
"The Nigerian Union of Teachers (NUT), the umbrella union for primary school teachers, announced Thursday that it has called off a four-day strike after deliberations with the Nigerian government.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=87,,Nigerian Union of Teachers,Nigerian government
The Rwandan government on Thursday accepted demands from Hutu rebels that it initiate political reforms.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=88,,Rwandan government,Hutu rebels
"Tuesday the Serbian parliament approved a ``special law'' recognizing victories by Zoran Djindjic's opposition coalition in November 17 municipal elections in 14 of the 18 most important Serbian cities, including Belgrade.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=89,,Serbian parliament,Zoran Djindjic's opposition coalition
Georgian President Eduard Shevardnadze resigned Sunday as the opposition threatened to storm his residence in Tbilisi.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=90,,Georgian President Eduard Shevardnadze,Tbilisi
"As part of its fight to eradicate poverty, the governing Labour Party has introduced a legally-binding minimum rate of pay in Britain for the first time.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=91,,Labour Party,Britain
"The Federal Minister for Interior Aftab Ahmad Khan Sherpao allowed opposition leader Maulana Fazl-ur-Rehman to bring out `Shan-e-Mustafa (SAW)' Rally after an agreement on carrying out a violence free protest demonstration, according to the Pakistani Federal Secretary Interior.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=92,,Federal Minister for Interior Aftab Ahmad Khan Sherpao,Maulana Fazl-ur-Rehman
President Dos Sontas has reportedly conceded at last to demands from National Union for the Total Independence of Angola (UNITA) to overhaul the judiciary.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=93,,President Dos Sontas,National Union for the Total Independence of Angola
Lt. Gen. Prosper Avril resigned yesterday to allow Haiti's first democratic elections to take place.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=94,,Lt. Gen. Prosper Avril,Haiti
"According to a zoo spokesperson Malaysian authorities have initiated the process of returning the four baby gorillas to Nigeria, amid speculations they were illegally captured in the wild.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=95,,Malaysian authorities,Nigeria
"Polish police today released the correspondent of the American news agency United Press International, who was detained for 23 hours and questioned in connection with an inquiry into alleged illegal activities.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=96,,Polish police,American news agency United Press International
"Bosnian Serb forces Tuesday let free six French UN peacekeepers held captive inside a UN armored personnel carrier since Friday, a UN spokesman said.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=97,,Bosnian Serb forces,French UN peacekeepers
"French maritime authorities today release an impounded ship operated by the Greenpeace ecology movement, port officials said.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=98,,French maritime,Greenpeace
An Egyptian court released a Lebanese millionaire's assets of nearly 19 million dollars on Saturday six years after they were frozen in a major bank scandal.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=99,,Egyptian court,Lebanese
"Germany on Wednesday lifted sanctions against gold from South Africa in recognition of the country's moves to abolish apartheid, a government spokesman said.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=100,,Germany,South Africa
"The United Arab Emirates (UAE) has lifted its boycott of trade in oil on Namibia, effective since March 31.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=101,,United Arab Emirates,Namibia
"The European Union failed Wednesday to renew sanctions against Zimbabwe, with the fate of an EU-Africa summit scheduled for April hanging in the balance.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=102,,European Union,Zimbabwe
"Kyrgyz Prime Minister Nikolai Tanaev received a mission of observers from the OSCE, informing them in detail on the economic situation of the country.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=103,,Kyrgyz Prime Minister Nikolai Tanaev,OSCE
"A first patch of Bangladeshi peacekeeping troops arrived in Sierra Leone Tuesday, joining 12 unarmed military observers as the first element of an 800-strong Bangladeshi contingent due here, U.N. officials said.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=104,,Sierra Leone,Bangladeshi
The IAEA has dispatched inspectors to Esfahan Uranium Conversion Facilities (UCF) in central Iran to monitor resumption of peaceful nuclear work at the plant.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=105,,Iran,IAEA
Humanitarian access for the Darfur region has improved significantly since September as the Khartoum government tried to secure international favor.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=106,,Khartoum government,Darfur
"Uzbekistan finally opened the Friendship Bridge after four years to allow the delivery of 1,000 tons of grain and flour to Afghanistan, where millions of people are at risk of starvation as winter sets in, reports aid agencies.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=107,,Uzbekistan,Afghanistan
The pro-Iranian Hizbollah (Party of God) group declared a unilateral ceasefire on Wednesday in south Lebanon after 12 days of battles with the Syrian-backed Amal militia.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=108,,pro-Iranian Hizbollah,south Lebanon
"The Israeli army lifted Friday a day-old blockade on Palestinian lorries passing through this crossing point between the Gaza Strip and the Jewish state, officials told AFP.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=109,,Israeli army,Palestinian
"One third of ethnic Albanian guerrillas operating in Macedonia have been demobilized since the August 13 peace accord between Macedonian and ethnic Albanian political parties, two rebel commanders told AFP by phone Sunday.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=110,,ethnic Albanian guerrillas,Macedonia
"Five hundred Ugandan rebels surrendered last week in the eastern town in Soroti following a government offensive in the area, a local official said.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=111,,Ugandan rebels,Soroti
"The United States speeded up the withdrawal of some invasion forces from Panama on Wednesday, but defence officials cautioned that no deadline had been set for complete removal of the troops.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=112,,United States,Panama
Bosnian Serbs said on Tuesday their forces had completed their withdrawal from the beseiged Bosnian town of Gorazde.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=113,,Bosnian Serbs,Bosnian town of Gorazde
"The United Nations has sent 21 military and civilian personnel to Yugoslavia on Wednesday to investigate the feasibility of a 10,000-member peacekeeping force, a U.N. spokesman said on Monday.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=114,,United Nations,Yugoslavia
"Judge Alejandro Rivera opened fraud investigations against 28 Chilean government officials suspected of taking kickbacks, the court said Friday.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=115,,Judge Alejandro Rivera,Chilean government officials
"A US national has been put under investigation in Italy for her possible role in rioting during a G8 summit in Genoa last month, Ansa news agency reported.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=116,,Italy,US national
"Members of the Association of African Jurists, a body linked to the Organization of African Unity, investigated welfare of nearly 2,000 Libyans, some of whom have been held as long as seven years.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=117,,Association of African Jurists,Libyans
Israel's high court opened a landmark hearing Wednesday into the legality of secret interrogation techniques used against Palestinian detainees.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=118,,Israel,Palestinian
The Ceasefire Violations Committee (CFVC) has completed its investigation into an allegation by the Liberian Peace Council (LPC) that the NPFL had taken over the city of Greenville.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=119,,Ceasefire Violations Committee,NPFL
"Croatia is investigating alleged war crimes by Croatian extremists against Serb civilians and prisoners and will bring suspects to trial, a Croatian official said.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=120,,Croatia,Croatian extremists
"Serbian military police have launched an investigation into alleged crimes committed by Croat forces against ethnic Serb civilians and Montenegrin prisoners of war during the 1991-1995 Serbo-Croatian conflict, the newspaper Jutarnji list reported Thursday.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=121,,Serbian military police,Croat forces
"Poland's parliament has demanded an immediate admission by Moscow that Soviet NKVD security forces murdered more than 15,000 captive Polish officers during World War Two.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=122,,Poland's parliament,Moscow
French President Jacques Chirac issued a stern reminder Saturday to Iraq that it must cooperate fully with UN inspectors probing suspect sites for weapons of mass destruction.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=123,,French President Jacques Chirac,Iraq
"An Argentine judge has ordered former president Carlos Menem to appear October 16 for questioning in an investigation of illegal arms sales to Croatia and Ecuador in the 1990s, court sources said Wednesday.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=124,,Argentine judge,Carlos Menem
The Bush administration declared Tuesday that China must drop barriers to U.S. exports or face tariff penalties for maintaining unfair trade practices.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=125,,Bush administration,China
The PRC on Tuesday demanded that the US cancel plans to sell air-to-surface anti-tank weapons to Taiwan to avoid ``new damage'' to US-PRC relations.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=126,,PRC,US
A senior British minister reiterated that Libya must hand over alleged bombers of the U.S. airliner as he embarked on a trip to North Africa to seek Arab support for the demand.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=127,,British minister,Libya
The rebel Kurdistan Workers' Party issued a declaration demanding that the Turkish government provide information on the safety of its leader Abdullah Ocalan.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=128,,Kurdistan Workers' Party,Turkish government
Kosovo Municipality Association (AKK) officials demanded support from the Kosovo Assembly in regaining control over the properties that belonged to them before.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=129,,Kosovo Municipality Association,Kosovo Assembly
"Greece bluntly demanded that its European Community partners refuse to recognize the Former Yugoslav Republic of Macedonia, on Greece's northern border, as long as it keeps that name.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=130,,Greece,European Community
Palestinian officials demanded Friday that the United States match the European Union's support for Palestinian statehood.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=131,,Palestinian officials,United States
The Third World Water Forum concluded on Saturday that the US and other developed nations must allocate greater financial resources to help with the battle against the global water and sanitation crisis.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=132,,Third World Water Forum,US
According to reports the UK is pushing hard for the US support its debt relief plan to tackle poverty in Africa.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=133,,UK,US
"Some 800,000 Iraqi Kurds sought refuge in Germany last month.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=134,,Iraqi Kurds,Germany
"Ethnic Albanians in south Serbia are demanding a U.N. military presence to protect them against a heavily armed ruling Serb minority and prevent a Bosnia-style civil war, but some foreign monitors are skeptical.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=135,,Ethnic Albanians in south Serbia,U.N.
"The Red Cross operating in Iraq said US and British forces must ensure security to allow emergency water, food, and medical supplies to reach the needy.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=136,,Red Cross operating in Iraq,US and British forces
"At the end of a seminar on reform, around 100 Arab intellectuals and activists published a declaration demanding wide-ranging political changes in the Arab world.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=137,,Arab intellectuals and activists,Arab world
Sunnis have demanded that control of the Interior Ministry be taken away from Shiite religious parties in the next government.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=138,,Sunnis,Shiite religious parties
Rwandan rebels demanded the removal of President Juvenal Habyariman and his ruling party at the fourth round of talks aimed at ending a 23-month civil war.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=139,,Rwandan rebels,Juvenal Habyariman
Former Socialist prime minister Andreas Papandreou demanded immediate elections after a special court cleared him of all charges in Greece's biggest corruption trial this century.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=140,,Andreas Papandreou,Greece
Opposition groups in Zimbabwe are demanding that President Mugabe abandon his controversial policy of land confiscations.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=141,,Opposition groups in Zimbabwe,President Mugabe
"The main Hutu rebel group, Forces for Defence of Democracy (FDD), insisted on its demands that Burundi's government grant the Hutu majority more rights.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=142,,Hutu rebel group,Burundi's government grant
Rwandan rebels announced that President Kagame and his Rwandan Patriotic Front must agree to major constitutional changes before they demobilize.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=143,,Rwandan rebels,President Kagame and his Rwandan Patriotic Front
The Albanians of southern Serbia are demanding political and territorial autonomy from Serbian authorities.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=144,,Albanians of southern Serbia,Serbian authorities
The United States on Thursday demanded that the Democratic People's Republic of Korea (DPRK) forsake its nuclear program.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=145,,United States,Democratic People's Republic of Korea
Human rights organization Amnesty International demanded that the Sudanese government end curbs on press freedom.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=146,,Amnesty International,Sudanese government
The International Labor Office (ILO) reiterated its demand today that Israel ease restrictions on the movement of Palestinian workers.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=147,,International Labor Office,Israel
Iranian authorities have been pressuring workers of the United Bus Company of Tehran (Sharekat-e Vahed) to cancel the strike they have been planning for better pay and working conditions.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=148,,Iranian authorities,workers of the United Bus Company of Tehran
Russia said on Tuesday that Sudan must return a Mi-26 helicopter that was captured by the Sudanese authorities last week.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=149,,Russia,Sudan
The 106th Inter-Parliamentary Union Conference stressed the obligation of the international community to take immediate action to lift embargoes and other sanctions which have negatively affected children in different parts of the world.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=150,,Inter-Parliamentary Union Conference,international community
"Kenzo Oshima, the United Nations Emergency Relief Coordinator, demanded parties to the conflict in Iraq to allow humanitarian workers the freedom of movement necessary for discharging their mandate.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=151,,Kenzo Oshima,Iraq
Washington along with its allies demanded that Hamas renounce its armed struggle against Israel.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=152,,Washington,Hamas
"European Community foreign ministers demanded the withdrawal of Yugoslav federal forces from Bosnia-Herzogovina on Monday calling them an occupying army, diplomats quoted an EC declaration as saying.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=153,,European Community,Yugoslav
Bosnian Serbs demanded a truce with Moslem forces in east Bosnia before allowing U.N. aid conveys to feed starving Moslem civilians in the region.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=154,,Bosnian Serbs,Moslem forces in east Bosnia
"Yugoslavia on Tuesday demanded a meeting of the U.N. Security Council to discuss Croatia's military advance into the Serb-held Krajina region, describing it as ``a serious challenge to the world community.''",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=155,,Yugoslavia,U.N. Security Council
Jack Straw said on Friday that the Sudanese government and the rebels in Darfur must reach an agreement that stops the conflict for good before developmental assistance to the region is released.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=156,,Jack Straw,Sudanese government and the rebels in Darfur
Egyptian President Hosni Mubarak said here Wednesday that the US must be ready to mediate between Israelis and Palestinians as soon as the Israeli elections of January 28 are finalized.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=157,,Egyptian President Hosni Mubarak,US
"On Tuesday, Nigerian junior foreign minister Dubem Oniya summoned Niger's ambassador Brah Mohamane to complain of inaction over the gangs.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=158,,Nigerian junior foreign minister Dubem Oniya,Niger's ambassador Brah Mohamane
Albania on Friday denounced as an ugly crime Yugoslavia's suppression of ethnic Albanian unrest in the southern Yugoslav province of Kosovo.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=159,,Albania,Yugoslavia
